experiment_id,title,design_text,tags,description_template
EXP-001,Sorry I Can't I Have Plans With My Dog T-Shirt | Mom Appreciation | Dog Moms,Sorry I Can't I Have Plans With My Dog,mothers day|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-002,Walks Snacks Repeat - Thank You T-Shirt | Mom Appreciation | Dog Moms,Walks Snacks Repeat - Thank You,mothers day|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-003,Home is Where My Dog Is T-Shirt | Mom Appreciation | Dog Moms,Home is Where My Dog Is,mothers day|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-004,Vintage Dog Mom Energy T-Shirt | Gift for Mom | Dog Moms,Vintage Dog Mom Energy,mothers day|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-005,Pawsitively Tired (Barely) T-Shirt | Mom Appreciation | Dog Moms,Pawsitively Tired (Barely),mothers day|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-006,Custom Name Rescued is My Favorite Breed T-Shirt | Mom Appreciation | Dog Moms,Custom Name Rescued is My Favorite Breed,mothers day|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-007,Sorry I Can't I Have Plans With My Dog Mug | Gift for Mom | Dog Moms,Sorry I Can't I Have Plans With My Dog,mothers day|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-008,Home is Where My Dog Is - Thank You Mug | Mother's Day Gift | Dog Moms,Home is Where My Dog Is - Thank You,mothers day|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-009,Pawsitively Tired Mug | Mother's Day Gift | Dog Moms,Pawsitively Tired,mothers day|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-010,Vintage Rescued is My Favorite Breed Mug | Gift for Mom | Dog Moms,Vintage Rescued is My Favorite Breed,mothers day|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-011,Rescued is My Favorite Breed (Barely) Mug | Mother's Day Gift | Dog Moms,Rescued is My Favorite Breed (Barely),mothers day|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-012,Custom Name Rescued is My Favorite Breed Mug | Mom Appreciation | Dog Moms,Custom Name Rescued is My Favorite Breed,mothers day|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-013,Dog Hair Don't Care Sticker | Gift for Mom | Dog Moms,Dog Hair Don't Care,mothers day|dog moms|sticker|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality sticker for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-014,Home is Where My Dog Is - Thank You Sticker | Gift for Mom | Dog Moms,Home is Where My Dog Is - Thank You,mothers day|dog moms|sticker|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality sticker for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-015,Fueled by Coffee and Dog Kisses Sticker | Gift for Mom | Dog Moms,Fueled by Coffee and Dog Kisses,mothers day|dog moms|sticker|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality sticker for dog moms fans. Great for Mothers Day. Designed for gifting.
