date,channel,season,niche,content_hook,cta,asset_type,status
2026-02-25,Pinterest/TikTok,Mothers Day,New Moms,POV: you found the perfect funny gift,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-02-26,Pinterest/TikTok,Mothers Day,Graduation Families,"If your mom is impossible to shop for, use this",Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-02-27,Pinterest/TikTok,Mothers Day,New Dads,Last-minute gift that still feels personal,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-02-28,Pinterest/TikTok,Mothers Day,New Moms,"If your mom is impossible to shop for, use this",Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-01,Pinterest/TikTok,Mothers Day,New Moms,"If your mom is impossible to shop for, use this",Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-02,Pinterest/TikTok,Mothers Day,Teachers,Last-minute gift that still feels personal,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-03,Pinterest/TikTok,Mothers Day,Graduation Families,Top 3 gift picks this week,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-04,Pinterest/TikTok,Mothers Day,Nurses,"Small gift, big reaction",Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-05,Pinterest/TikTok,Mothers Day,Graduation Families,POV: you found the perfect funny gift,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-06,Pinterest/TikTok,Mothers Day,New Dads,"If your mom is impossible to shop for, use this",Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-07,Pinterest/TikTok,Mothers Day,Graduation Families,Last-minute gift that still feels personal,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-08,Pinterest/TikTok,Mothers Day,Graduation Families,"Small gift, big reaction",Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-09,Pinterest/TikTok,Mothers Day,New Moms,Gift idea that looks expensive but is affordable,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-10,Pinterest/TikTok,Mothers Day,Teachers,Gift idea that looks expensive but is affordable,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-11,Pinterest/TikTok,Mothers Day,New Dads,"Small gift, big reaction",Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-12,Pinterest/TikTok,Mothers Day,Teachers,"If your mom is impossible to shop for, use this",Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-13,Pinterest/TikTok,Mothers Day,Dog Moms,Top 3 gift picks this week,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-14,Pinterest/TikTok,Mothers Day,New Dads,Last-minute gift that still feels personal,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-15,Pinterest/TikTok,Mothers Day,Dog Moms,"Small gift, big reaction",Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-16,Pinterest/TikTok,Mothers Day,New Dads,Top 3 gift picks this week,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-17,Pinterest/TikTok,Fathers Day,New Dads,Last-minute gift that still feels personal,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-18,Pinterest/TikTok,Fathers Day,Dog Moms,"If your mom is impossible to shop for, use this",Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-19,Pinterest/TikTok,Fathers Day,New Moms,Last-minute gift that still feels personal,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-20,Pinterest/TikTok,Fathers Day,Teachers,Last-minute gift that still feels personal,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-21,Pinterest/TikTok,Fathers Day,Dog Moms,Top 3 gift picks this week,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-22,Pinterest/TikTok,Fathers Day,Teachers,Top 3 gift picks this week,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-23,Pinterest/TikTok,Fathers Day,Teachers,Gift idea that looks expensive but is affordable,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-24,Pinterest/TikTok,Fathers Day,New Dads,"Small gift, big reaction",Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-25,Pinterest/TikTok,Fathers Day,New Moms,POV: you found the perfect funny gift,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-26,Pinterest/TikTok,Fathers Day,Nurses,Top 3 gift picks this week,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-27,Pinterest/TikTok,Fathers Day,Dog Moms,POV: you found the perfect funny gift,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-28,Pinterest/TikTok,Fathers Day,Dog Moms,Gift idea that looks expensive but is affordable,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-29,Pinterest/TikTok,Fathers Day,Nurses,"Small gift, big reaction",Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-30,Pinterest/TikTok,Fathers Day,Nurses,"If your mom is impossible to shop for, use this",Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-03-31,Pinterest/TikTok,Fathers Day,New Dads,Top 3 gift picks this week,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-04-01,Pinterest/TikTok,Fathers Day,Teachers,"If your mom is impossible to shop for, use this",Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-04-02,Pinterest/TikTok,Fathers Day,Nurses,"If your mom is impossible to shop for, use this",Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-04-03,Pinterest/TikTok,Fathers Day,Dog Moms,Gift idea that looks expensive but is affordable,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-04-04,Pinterest/TikTok,Fathers Day,New Moms,Gift idea that looks expensive but is affordable,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-04-05,Pinterest/TikTok,Fathers Day,New Dads,POV: you found the perfect funny gift,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-04-06,Pinterest/TikTok,Graduation,Teachers,POV: you found the perfect funny gift,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-04-07,Pinterest/TikTok,Graduation,Nurses,Top 3 gift picks this week,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-04-08,Pinterest/TikTok,Graduation,New Dads,Gift idea that looks expensive but is affordable,Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-04-09,Pinterest/TikTok,Graduation,Graduation Families,"Small gift, big reaction",Link in bio / Etsy shop,mockup slideshow + text overlay,planned
2026-04-10,Pinterest/TikTok,Graduation,New Dads,"If your mom is impossible to shop for, use this",Link in bio / Etsy shop,mockup slideshow + text overlay,planned
